"A_Ctrl1"	"A_Ctrl2"	"A_Ctrl3"	"A_Ctrl4"	"A_Ctrl5"	"A_Ctrl6"	"A_Ctrl7"	"A_Ctrl8"	"A_Ctrl9"	"A_Ctrl10"	"A_Ctrl11"	"A_Ctrl12"	"A_Ctrl13"	"A_Ctrl14"	"A_Ctrl15"	"A_Ctrl16"	"A_Ctrl17"	"A_Ctrl18"	"A_Apc1"	"A_Apc2"	"A_Apc3"	"A_Apc4"	"A_Apc5"	"A_Apc6"	"A_Apc7"	"A_Apc8"	"A_Apc9"	"A_Apc10"	"A_Apc11"	"A_Apc12"	"A_Apc13"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"12_3090000_3100000"	0	0	0.0842241300044473	0	0	0	0	0	0	0	0.0150085993270704	0	0.0691706835720282	0	0	0	0	0	0.0732782305824637	0.0794640148585788	0.346950495003801	0	0.0530540005649685	0.0476544869967244	0.160110459327408	0	0	0	0.292527819921109	0	0.206499834250729	0.0047695339968739	0.00476953399688329	3.35853786857477	9.0540344681358	"upsig"	"upsig"	"upsig"	"upsig"
"7_12100000_12110000"	0	0	0.112405587952703	0	0	0	0.178405680370026	0	0.0693796220662923	0	0	0.0579213582966887	0.123059471936283	0.0437659201188149	0	0.3261308136813	0	0	0	0.125366523441659	2.04239184097517	0	0.0437275047884179	0.404323162965997	0	0.396013512084116	1.54568520752694	1.48804244635851	1.12250044682338	0	0	0.0071348822305721	0.00713488223059888	3.44284885183845	10.2930867651148	"upsig"	"upsig"	"upsig"	"upsig"
"18_40170000_40180000"	0.0326979348993689	0	0.263240436743938	0.199160771392907	0.0606206634025973	0	0.142724544296021	0	0.216948976937454	0	0.0230131856348413	0	0	0.0622194610644346	0.256460796035433	0.145027198119339	0	0.0512643671189005	0.327596795545132	0.374895570099848	0.877650737146955	0.761137666584112	0.801467063289813	0.297322560175215	0.807353448891655	1.10815060865186	0.0765991601294993	4.05888593682199	2.11760974626176	0.370310441840329	0	0.00274090675535212	0.002740906755343	3.51087900338928	4.17710087789482	"upsig"	"upsig"	"upsig"	"upsig"
"14_52910000_52920000"	0	0	0	0	0	0	0.0421211459995574	0	0	0	0.0523633354300013	0	0	0	0	0	0	0	0	0.108059020205416	0	0	0	0.0922010726675754	0.0728290053931749	0.0226211622954773	0	0.139395076942249	0.191730110710756	0.0566722479126709	0.118595317652254	0.00118813297451626	0.00118813297448217	3.53023395987355	9.14904205642287	"upsig"	"upsig"	"upsig"	"upsig"
"18_10590000_10600000"	0	0	0	0.00567871853258798	0.242745080724686	0.0679069938663901	0	0	0.0969112181243448	0	0.156089433001533	0	0.15844912399639	0.111374468362059	0	0.0481620172859	0	0	0.198102667481513	1.00955418877149	0	1.88559171268437	0.339117502170318	0.301762419212177	1.30100375003917	1.05317259395906	0	0	1.27691395880519	0.282196741318573	0	0.00119388152307709	0.00119388152304312	3.57425750638353	11.5596754423383	"upsig"	"upsig"	"upsig"	"upsig"
"6_9380000_9390000"	0	0	0	0	0.489295354606679	0	0	0	0.481692804631687	0.12213372296192	0	0	0.404434016156607	0.0999430713160998	0	0.106966577717373	0	0.0103390320239799	0.336038160342622	0.0740460138454939	0.308234989123549	4.84286525991918	0.663404347122186	0.91816284884372	0.552593620687514	0	0.476433569253739	2.31893667284642	4.12369862275887	0.531787531783281	0	0.00811407655963951	0.00811407655966756	3.61093548741994	12.3769055031478	"upsig"	"upsig"	"upsig"	"upsig"
"13_119830000_119840000"	0.0549704412800984	0	0.0509187706110537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0547820102434142	0	0	0.159620681815064	0.105816640380925	0.055826124756636	0.0572687653050059	0.125959394781914	0	0	0.221254666508373	0.187175996550202	0.00113597671856884	0.0011359767185336	3.63911459114853	9.12737855607036	"upsig"	"upsig"	"upsig"	"upsig"
"2_100570000_100580000"	0	0	0	0	0	0	0.0396843854871863	0	0	0	0	0	0	0.0414796407096231	0	0	0	0	0.0229892488101847	0	0	0	0.099992266194494	0	0.0524255486293282	0.0471035594633674	0	0.119481494521928	0.218752475307574	0.0555077496678899	0.197027364789687	0.0032315531131591	0.00323155311315559	3.76498334388609	8.88275184229677	"upsig"	"upsig"	"upsig"	"upsig"
"17_23040000_23050000"	0	0	0	0	0.0263739249868443	0	0	0	0	0	0	0	0	0.0369070818912394	0	0	0	0	0.116023865088901	0.0505680094554593	0	0	0.0178885246861709	0.0827293733887234	0.0906820300615407	0	0.17168777270405	0.0642213033055362	0.0995109299438378	0	0	0.000907316644352653	0.000907316644311429	3.88538374408177	8.98493134199917	"upsig"	"upsig"	"upsig"	"upsig"
"7_8490000_8500000"	0	0	0	0	0	0	0.0322000496277608	0	0	0.0498693462377593	0	0	0.0261400839080339	0	0	0.0524911873790146	0	0	0	0.197004536836893	0	0	0.0371530897328166	0.0353708769944631	0.381147907602413	0.316123584483633	0.135864458591763	0.885158738583282	0	0.320625183396343	0	0.00872737038804089	0.00872737038807281	4.29870343013169	8.54121627594966	"upsig"	"upsig"	"upsig"	"upsig"
