"D_Ctrl1"	"D_Ctrl2"	"D_Ctrl3"	"D_Ctrl4"	"D_Ctrl5"	"D_Ctrl6"	"D_Ctrl7"	"D_Ctrl8"	"D_Ctrl9"	"D_Ctrl10"	"D_Ctrl11"	"D_Ctrl12"	"D_Ctrl13"	"D_Ctrl14"	"D_Ctrl15"	"D_tDEN1"	"D_tDEN2"	"D_tDEN3"	"D_tDEN4"	"D_tDEN5"	"D_tDEN6"	"D_tDEN7"	"D_tDEN8"	"D_tDEN9"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"7_49350000_49360000"	0	0.0976625143820969	0	0.0906263871258133	0.11505623280346	0	0	0	0	0.181133128185744	0	0	0	0.0133114641708736	0	0.983783992551264	0.210619568285026	0.157665634693576	0.374328094695465	0.477338497949178	0.597556727412147	0	0.243905578818955	0.208837369452546	0.00032161043400302	0.000321610433973274	3.44164540594118	11.2526984178701	"upsig"	"upsig"	"upsig"	"upsig"
"9_5380000_5390000"	0	0	0	0.019644983712344	0.0279729674912703	0	0.0786163159581617	0.0488531426936394	0	0	0	0	0	0.0105886646813767	0	0	0.230926522952804	0	0.25207070572643	0.191215454360997	0.385908143513096	0.209295154936716	0	0	0.00242311004372455	0.00242311004371476	3.49968505349945	10.9017377031941	"upsig"	"upsig"	"upsig"	"upsig"
"7_32330000_32340000"	0	0	0	0	0.0532878701983022	0	0	0	0	0	0.00622937237348864	0	0.0451693881525994	0.0228412623841127	0	0.311840963676627	0.170266004522135	0	0.0703568357998095	0.0718808298737028	0.0681014370905464	0.159610845159454	0	0.0681648195048544	0.00139149537611437	0.00139149537609751	3.57267445034253	9.46059587496202	"upsig"	"upsig"	"upsig"	"upsig"
"3_64350000_64360000"	0.0457636117117784	0	0	0	0.0199987731385552	0	0	0	0	0	0	0	0	0.0473464577895846	0	0.0561226384207935	0	0.0692476857090891	0.0990941349293091	0.217509524163282	0.103821308505686	0	0	0.29324089942116	0.00392088243348739	0.00392088243348609	3.61052696711277	9.43770392709315	"upsig"	"upsig"	"upsig"	"upsig"
"1_71140000_71150000"	0.091961001733621	0.0686637473130101	0	0	0.0253149027070319	0	0	0.0888751403618902	0	0.0504268174236482	0.0913134828406506	0	0.0321326948240036	0.0568762560028237	0.0422284191105944	1.45525783049093	0.138243499084486	0.279729351875699	0.392784377326049	0.314750906568183	0.076447201439878	0.218921489956061	1.000688572259	0.618959219769841	0.000642100314187555	0.000642100314162231	3.77018020040765	3.28807210589241	"upsig"	"upsig"	"upsig"	"upsig"
"10_31650000_31660000"	0	0.146993750315716	0	0.0607882514872531	0.15872443997309	0.0779540995994433	0	0	0	0.0958109531049317	0	0	0	0	0	1.63192403470268	0.847164493448054	0.420180872607693	0.243523836588777	0.547196707068859	0.115839209168723	0.158368737415023	0	0.910878363688138	0.00097837887167894	0.000978378871657637	3.90690030173711	12.037138084188	"upsig"	"upsig"	"upsig"	"upsig"
"11_12970000_12980000"	0.135555721895078	0	0	0.0122317823114595	0	0	0	0	0	0	0	0	0	0.0211773293627535	0	0.112245276841587	0.323869892393786	0	0	0.377296563731016	0.102819816783766	0.425732429403914	0.199440218605312	0.0844035299686147	0.000603685412797738	0.000603685412771893	3.99137460693802	10.1337237574625	"upsig"	"upsig"	"upsig"	"upsig"
"7_14620000_14630000"	0	0	0	0	0	0	0.142425286968864	0	0	0	0	0	0.0201976938893737	0.0701877201736973	0	0.0589615267455807	0.453521987580365	0.700692684208918	0.142943289635528	0.369984011774167	0.387577296382962	0.0664527643270879	0	0.0658989529285158	0.00106530364935201	0.00106530364933188	3.99842763903444	10.4822361050312	"upsig"	"upsig"	"upsig"	"upsig"
"11_77230000_77240000"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073213052939805	0	1.67057659112479	0.160112527188246	0.0895916385727762	0.0963690462187531	0.0662797262471805	0.118176023186536	0.635959165148953	1.46038192858535	0.0330438875716053	0.00808934354463722	0.00808934354465252	6.59429172596207	10.2079419260845	"upsig"	"upsig"	"upsig"	"upsig"
"7_17500000_17510000"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0351585400223648	0.0674295033199281	0.0962425462397509	0.0296043728101311	0.0566333811126143	0.0574188587234018	0	0	0	0.000245637573878737	0.000245637573848656	8.57569555544865	8.46182892688029	"upsig"	"upsig"	"upsig"	"upsig"
